timestamp,open,high,low,close,volume
2026-05-29,87.9900,89.0950,87.4240,88.0800,9465769
2026-05-28,88.4800,89.1400,87.7000,87.9900,4739867
2026-05-27,88.0000,89.8500,87.9400,89.2400,5673978
2026-05-26,87.3900,87.9500,86.6800,87.4200,4813020
2026-05-22,86.2000,87.1100,85.8600,86.7900,3238982
2026-05-21,86.6400,86.7499,85.4730,86.3200,4306892
2026-05-20,86.3500,87.6300,86.0050,86.8800,4283343
2026-05-19,87.5300,88.0350,86.1750,86.3500,4725159
2026-05-18,87.4900,88.6550,86.8550,88.5400,4806285
2026-05-15,86.0000,87.9050,85.8800,87.0900,6149027
2026-05-14,85.7500,86.0400,85.2001,85.8200,4129476
2026-05-13,86.0000,86.7900,85.2800,85.9300,6515346
2026-05-12,86.0000,86.3300,84.8100,85.8700,6027228
2026-05-11,85.0100,86.4500,83.2600,86.4100,7794316
2026-05-08,84.4950,88.7700,83.1300,86.2900,15284847
2026-05-07,76.7100,76.9600,75.3750,75.9700,6626134
2026-05-06,76.8300,77.9550,76.3000,77.2000,4295225
2026-05-05,75.0000,76.6100,74.8450,75.8000,3820757
2026-05-04,76.1400,76.5500,74.6000,75.2000,6493058
2026-05-01,77.3200,78.3400,76.7600,77.1200,3270567
2026-04-30,77.1900,77.9250,76.7000,77.0700,4559410
2026-04-29,76.8900,77.0700,76.1300,76.8900,3046054
2026-04-28,77.8600,78.3700,77.0600,77.1900,4010360
2026-04-27,78.0200,78.3100,76.8100,76.8600,3398045
2026-04-24,77.5500,78.2500,77.2300,78.2300,4201030
2026-04-23,76.5700,78.0000,76.3150,77.5600,3855532
2026-04-22,75.7800,76.6750,75.5400,75.9500,4062931
2026-04-21,76.8800,77.2300,75.1000,75.2700,5482757
2026-04-20,76.5000,77.4400,76.2000,77.2300,5148163
2026-04-17,75.7200,76.8400,75.3600,76.7200,4791485
2026-04-16,74.5500,76.3100,74.5500,75.3600,5036884
2026-04-15,75.0000,75.0700,73.8600,74.9300,4928697
2026-04-14,74.7700,76.4200,74.5550,75.0700,5681836
2026-04-13,75.3500,75.5300,74.5850,75.1700,3513719
2026-04-10,76.1700,76.6650,75.4000,75.7200,3826860
2026-04-09,74.6100,76.9300,74.4900,76.1900,3803705
2026-04-08,74.5080,75.6400,74.0650,75.1400,5480886
2026-04-07,73.9400,74.1599,72.0800,72.4400,5614618
2026-04-06,72.1300,74.2300,71.8200,74.1600,4064263
2026-04-02,72.1600,72.7000,71.7400,72.3700,3163333
2026-04-01,72.4200,73.2000,71.8650,72.7700,4253320
2026-03-31,71.6050,72.6100,70.8600,72.4600,8043591
2026-03-30,72.0500,72.1650,70.9750,71.3200,5234545
2026-03-27,72.1000,72.8250,71.6200,71.8300,4020544
2026-03-26,73.2100,73.3350,71.8200,71.9800,4589765
2026-03-25,73.1800,73.9900,72.2200,73.2100,3884241
2026-03-24,73.7800,74.5500,72.8800,73.0000,4302669
2026-03-23,75.5950,75.5950,73.7500,73.9600,4908657
2026-03-20,73.4700,74.4900,73.2500,73.6900,10528766
2026-03-19,74.2300,74.9100,73.6050,73.7400,4531863
2026-03-18,77.3650,77.4350,73.7750,74.0900,6848326
2026-03-17,78.1370,78.1370,76.8700,77.5900,3837331
2026-03-16,77.9300,78.5800,76.9116,77.0500,4291066
2026-03-13,77.2900,77.9300,76.6200,77.1100,4004509
2026-03-12,76.7000,78.2600,76.3500,76.9900,6002773
2026-03-11,76.3100,77.7200,75.4700,77.5200,6218191
2026-03-10,75.6800,77.6250,75.2800,76.7000,5994096
2026-03-09,74.9600,75.7400,73.3500,75.7250,8605794
2026-03-06,75.9020,76.3700,75.3000,75.6100,5860646
2026-03-05,78.0500,78.3262,76.5100,76.7000,6935007
2026-03-04,79.2400,79.4700,78.0700,78.6100,6062316
2026-03-03,80.5000,80.8050,78.3400,78.9900,7832109
2026-03-02,84.6350,85.1000,81.0100,81.0600,7314731
2026-02-27,85.7500,87.3800,84.6900,85.3000,13561558
2026-02-26,85.7600,86.8000,85.4100,86.6600,9480719
2026-02-25,84.9300,85.7700,84.4050,85.4100,6860736
2026-02-24,84.5800,85.5900,84.2600,85.5400,5037958
2026-02-23,83.3100,84.8801,83.3100,84.6900,6208717
2026-02-20,82.4200,83.9800,81.8550,83.7600,6603170
2026-02-19,82.6800,83.4600,81.6150,81.9900,5740033
2026-02-18,82.8100,83.9100,82.3600,83.1800,7181343
2026-02-17,81.8300,82.9300,81.4920,82.9000,7758095
2026-02-13,80.7100,82.3200,80.5200,81.4800,5175998
2026-02-12,81.0300,82.1000,80.6800,81.1700,4592523
2026-02-11,80.2700,81.1700,79.9300,80.7900,5165398
2026-02-10,80.3500,80.6900,79.7700,80.1700,8347690
2026-02-09,82.4900,82.6400,80.3500,80.9000,6099407
2026-02-06,81.9400,82.6000,81.7501,82.5400,4294630
2026-02-05,82.2500,82.6800,81.5100,81.7500,6127603
2026-02-04,82.4400,82.9500,80.7700,81.4400,11263163
2026-02-03,81.3200,82.4000,81.0700,81.9700,10924965
2026-02-02,80.9950,81.2892,79.9100,81.1000,9801943
2026-01-30,79.9750,80.8400,79.5300,80.7600,6093673
2026-01-29,80.9200,81.4600,79.9600,80.0400,3942241
2026-01-28,81.2600,81.6300,80.2515,80.9200,4329249
2026-01-27,81.1600,81.5850,80.7300,81.4100,4493189
2026-01-26,82.6950,83.2400,81.0750,81.1600,5944046
2026-01-23,80.6400,82.1900,80.3000,82.0000,4393816
2026-01-22,81.6000,81.8100,80.6100,80.8900,5713829
2026-01-21,81.3200,81.7600,79.8850,81.6000,8643477
2026-01-20,78.3900,81.6200,77.5300,81.4700,7322332
2026-01-16,78.5700,78.7400,77.7800,78.1700,7605064
2026-01-15,78.0900,79.0100,77.6400,77.9100,5519340
2026-01-14,78.0400,78.6900,76.8700,77.7300,7562799
2026-01-13,77.4800,78.8050,77.2800,78.4300,6694836
2026-01-12,77.4500,78.0900,77.1300,77.5000,4974225
2026-01-09,76.4900,77.5200,76.1750,77.3400,3568589
2026-01-08,75.8500,77.7400,75.5000,76.6000,3564641
2026-01-07,75.4600,77.0300,74.8700,76.1500,6318910
2026-01-06,75.6700,75.9700,75.2600,75.7200,4395857
